
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
5, 1.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.59

5, 1.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.68

5, 1.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.76

5, 1.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.83

5, 1.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.94

5, 1.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.00

5, 2.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.06

5, 2.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.13

5, 2.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.22

5, 2.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.24

5, 2.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.33

5, 2.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.38

5, 2.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.44

5, 2.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.49

5, 2.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.54

5, 2.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.59

5, 3.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.63

5, 3.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.68

5, 3.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.72

5, 3.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.76

5, 3.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.80

5, 3.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.83

5, 3.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.87

5, 3.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.89

5, 3.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.93

5, 3.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.97

5, 4.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.00

5, 4.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.02

5, 4.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.04

5, 4.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.08

5, 4.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.09

5, 4.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.12

5, 4.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.14

5, 4.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.17

5, 4.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.19

5, 4.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.21

5, 5.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.23
