
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
17, -5.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.67

17, -4.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.59

17, -4.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.52

17, -4.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.46

17, -4.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.38

17, -4.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.32

17, -4.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.23

17, -4.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.15

17, -4.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.09

17, -4.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.01

17, -4.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.91

17, -3.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.82

17, -3.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.72

17, -3.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.61

17, -3.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.50

17, -3.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.37

17, -3.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.24

17, -3.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.12

17, -3.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -10.92

17, -3.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -10.78

17, -3.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -10.56

17, -2.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -10.39

17, -2.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -10.17

17, -2.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -9.97

17, -2.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -9.75

17, -2.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -9.50

17, -2.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -9.28

17, -2.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -9.02

17, -2.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -8.78

17, -2.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -8.52

17, -2.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -8.24

17, -1.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -7.96

17, -1.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -7.67

17, -1.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -7.32

17, -1.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -7.00

17, -1.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -6.62

17, -1.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -6.26

17, -1.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -5.91

17, -1.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -5.47

17, -1.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -5.07

17, -1.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -4.62

17, -0.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -4.22

17, -0.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.77

17, -0.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.32

17, -0.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.84

17, -0.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.37

17, -0.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -1.89

17, -0.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -1.37

17, -0.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -0.91

17, -0.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -0.36

17, 0.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 0.10

17, 0.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 0.59

17, 0.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.12

17, 0.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.68

17, 0.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.14

17, 0.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.58

17, 0.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.10

17, 0.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.59

17, 0.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 4.02

17, 0.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 4.47

17, 1.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 4.87

17, 1.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 5.28

17, 1.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 5.71

17, 1.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, 6.07

