
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
9, -5.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.40

9, -4.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.36

9, -4.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.34

9, -4.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.30

9, -4.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.26

9, -4.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.22

9, -4.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.19

9, -4.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.16

9, -4.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.12

9, -4.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.08

9, -4.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -6.03

9, -3.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.99

9, -3.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.95

9, -3.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.89

9, -3.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.83

9, -3.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.78

9, -3.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.72

9, -3.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.66

9, -3.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.58

9, -3.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.52

9, -3.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.43

9, -2.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.36

9, -2.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.26

9, -2.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.16

9, -2.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -5.09

9, -2.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.97

9, -2.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.89

9, -2.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.75

9, -2.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.66

9, -2.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.51

9, -2.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.39

9, -1.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.25

9, -1.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -4.10

9, -1.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.98

