N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
65, -1.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -31.25

65, -1.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -30.62

65, -1.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -30.13

65, -1.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -29.33

65, -1.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -28.63

65, -1.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -27.74

65, -1.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -26.93

65, -1.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -26.13

65, -1.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -25.28

65, -1.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.50

65, -1.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.71

65, -1.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -22.94

65, -1.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -22.20

65, -1.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -21.22

65, -1.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -20.22

65, -1.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -19.39

65, -1.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -18.41

65, -0.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -17.56

65, -0.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -16.70

65, -0.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -15.69

65, -0.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -14.61

65, -0.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -13.64

65, -0.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -12.64

65, -0.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -11.57

65, -0.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -10.62

65, -0.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -9.68

65, -0.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -8.58

65, -0.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -7.53

65, -0.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -6.43

65, -0.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -5.39

65, -0.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -4.34

65, -0.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.22

65, -0.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.22

65, -0.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -1.02

65, -0.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 0.06

65, -0.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 1.01

65, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 2.23

65, 0.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 3.22

65, 0.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 4.41

65, 0.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 5.45

65, 0.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 6.45

65, 0.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 7.49

65, 0.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 8.64

65, 0.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 9.67

65, 0.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 10.63

65, 0.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 11.81

65, 0.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 12.70

65, 0.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 13.78

65, 0.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 14.76

65, 0.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 15.68

65, 0.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 16.81

65, 0.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 17.67

65, 0.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 18.66

65, 0.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 19.65

65, 0.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 20.57

65, 0.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 21.50

65, 1.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 22.46

65, 1.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 23.27

65, 1.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 24.06

65, 1.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 24.81

65, 1.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 25.75

65, 1.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 26.57

65, 1.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 27.45

65, 1.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 28.34

65, 1.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 29.29

65, 1.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 29.95

65, 1.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 30.69

65, 1.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 31.30

65, 1.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 31.80

65, 1.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 32.40

65, 1.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 33.10

65, 1.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 33.70

65, 1.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 34.43

65, 1.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 35.06

65, 1.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 35.63

65, 1.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 36.17

65, 2.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 36.74

65, 2.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 37.44

65, 2.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 37.95

65, 2.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 38.60

65, 2.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 39.15

65, 2.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 39.79

65, 2.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 40.38

65, 2.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 41.05

65, 2.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 41.66

65, 2.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 42.17

65, 2.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 42.77

65, 2.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 43.26

65, 2.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 43.83

65, 2.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 44.30

65, 2.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 44.73

65, 2.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 45.17

65, 2.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 45.52

65, 2.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 45.80

65, 2.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 46.10

65, 2.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 46.36

65, 3.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 46.59

65, 3.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 46.88

65, 3.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 47.11

65, 3.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 47.32

65, 3.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 47.53

65, 3.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 47.63

65, 3.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 47.79

65, 3.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 47.94

65, 3.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 48.03

65, 3.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 48.16

65, 3.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 48.29

65, 3.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 48.41

65, 3.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 48.57

65, 3.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 48.70

65, 3.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 48.86

65, 3.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 49.00

65, 3.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 49.14

65, 3.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 49.28

65, 3.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 49.45

65, 3.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 49.65

65, 4.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 49.83

65, 4.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 49.99

65, 4.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 50.21

65, 4.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 50.39

65, 4.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 50.59

65, 4.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, 50.73
