
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
65, -5.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.90

65, -4.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.79

65, -4.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.72

65, -4.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.60

65, -4.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.54

65, -4.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.45

65, -4.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.33

65, -4.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.24

65, -4.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.16

65, -4.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -48.09

65, -4.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.99

65, -4.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.89

65, -4.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.79

65, -4.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.68

65, -4.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.60

65, -4.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.49

65, -4.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.41

65, -4.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.35

65, -4.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.26

65, -4.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.17

65, -4.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -47.05

65, -3.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.98

65, -3.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.90

65, -3.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.79

65, -3.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.65

65, -3.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.53

65, -3.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.40

65, -3.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.29

65, -3.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -46.13

65, -3.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -45.93

65, -3.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -45.76

65, -3.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -45.49

65, -3.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -45.30

65, -3.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -45.04

65, -3.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -44.65

65, -3.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -44.25

65, -3.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -43.80

65, -3.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -43.58

65, -3.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -43.04

65, -3.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -42.69

65, -3.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -42.23

65, -2.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -41.77

65, -2.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -41.30

65, -2.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -40.90

65, -2.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -40.38

65, -2.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -39.89

65, -2.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -39.38

65, -2.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -38.95

65, -2.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -38.41

65, -2.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -37.88

65, -2.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -37.42

65, -2.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -37.01

65, -2.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -36.55

65, -2.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -36.08

65, -2.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -35.65

65, -2.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -35.16

65, -2.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -34.56

65, -2.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -34.14

65, -2.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -33.66

65, -2.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -33.24

65, -2.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -32.72

65, -1.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -32.03

65, -1.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -31.39

65, -1.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -30.85

65, -1.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -30.32

65, -1.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -29.76

65, -1.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -29.06

65, -1.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -28.37

65, -1.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -27.57

65, -1.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -26.69

65, -1.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -25.95

65, -1.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -25.34

65, -1.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.59

65, -1.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.80

65, -1.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.10

65, -1.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.39

65, -1.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -21.52

65, -1.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -20.50

65, -1.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -19.66

65, -1.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -18.77

65, -1.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -17.89

65, -0.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -17.05

65, -0.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -16.18

65, -0.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -15.25

65, -0.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -14.34

65, -0.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -13.42

65, -0.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.41

65, -0.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.31

65, -0.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -10.41

65, -0.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -9.44

65, -0.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -8.47

65, -0.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.47

65, -0.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.39

65, -0.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.37

65, -0.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.41

65, -0.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -3.24

65, -0.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -2.27

65, -0.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -1.29

65, -0.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -0.21

65, -0.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 0.79

65, 0.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 1.93

65, 0.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 2.99

65, 0.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.95

65, 0.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.03

65, 0.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.01

65, 0.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.07

65, 0.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.09

65, 0.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.12

65, 0.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.93

65, 0.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.04

65, 0.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 12.06

65, 0.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 13.05

65, 0.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 13.96

65, 0.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 15.00

65, 0.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 15.92

65, 0.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 16.87

65, 0.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 17.67

65, 0.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 18.60

65, 0.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 19.55

65, 0.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 20.47

65, 1.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 21.30

65, 1.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 22.19

65, 1.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 23.04

65, 1.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 23.77

65, 1.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 24.53

65, 1.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 25.29

65, 1.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 26.04

65, 1.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 26.80

65, 1.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 27.65

65, 1.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 28.45

65, 1.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 29.28

65, 1.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 29.94

65, 1.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 30.68

65, 1.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 31.16

65, 1.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 31.63

65, 1.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 32.13

65, 1.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 32.76

65, 1.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 33.14

65, 1.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 33.72

65, 1.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 34.49

65, 2.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 34.93

