
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
33, -5.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -25.07

33, -4.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.96

33, -4.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.85

33, -4.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.73

33, -4.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.61

33, -4.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.47

33, -4.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.37

33, -4.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.23

33, -4.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -24.11

33, -4.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.97

33, -4.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.85

33, -3.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.72

33, -3.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.56

33, -3.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.42

33, -3.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.24

33, -3.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -23.05

33, -3.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -22.78

33, -3.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -22.52

33, -3.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -22.14

33, -3.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -21.82

33, -3.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -21.38

33, -2.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -20.90

33, -2.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -20.46

33, -2.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -20.01

