
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
5, 1.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.55

5, 1.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.66

5, 1.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.74

5, 1.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.84

5, 1.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.92

5, 1.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.00

5, 1.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.07

5, 2.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.14

5, 2.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.21

5, 2.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.25

5, 2.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.33

5, 2.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.39

5, 2.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.44

5, 2.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.49

5, 2.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.55

5, 2.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.59

5, 2.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.64

5, 3.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.68

5, 3.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.72

5, 3.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.76

5, 3.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.81

5, 3.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.84

5, 3.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.86

5, 3.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.89

5, 3.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.92

5, 3.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.95

5, 3.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 2.98

5, 4.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.00

5, 4.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.03

5, 4.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.05

5, 4.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.07

5, 4.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.09

5, 4.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.12

5, 4.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.13

5, 4.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.15

5, 4.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.17

5, 4.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.19

5, 5.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 3.20
