
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
33, -5.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.93

33, -4.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.89

33, -4.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.85

33, -4.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.79

33, -4.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.72

33, -4.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.72

33, -4.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.66

33, -4.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.59

33, -4.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.55

33, -4.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.50

33, -4.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.45

33, -4.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.43

33, -4.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.35

33, -4.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.32

33, -4.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.26

33, -4.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.20

33, -4.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.16

33, -4.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.12

33, -4.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.07

33, -4.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -24.00

33, -4.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.95

33, -3.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.90

33, -3.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.86

33, -3.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.78

33, -3.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.72

33, -3.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.67

33, -3.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.59

33, -3.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.51

33, -3.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.41

33, -3.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.39

33, -3.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.29

33, -3.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.16

33, -3.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -23.11

33, -3.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.98

33, -3.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.85

33, -3.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.74

33, -3.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.57

33, -3.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.48

33, -3.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.27

33, -3.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -22.10

33, -3.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -21.92

33, -2.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -21.69

33, -2.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -21.48

33, -2.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -21.26

33, -2.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -21.05

33, -2.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -20.82

33, -2.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -20.60

33, -2.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -20.31

33, -2.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -20.12

33, -2.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -19.81

33, -2.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -19.57

33, -2.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -19.32

33, -2.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -19.04

33, -2.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -18.80

33, -2.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -18.61

33, -2.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -18.36

33, -2.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -18.14

33, -2.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -17.89

33, -2.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -17.61

33, -2.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -17.39

33, -2.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -17.10

33, -1.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -16.87

33, -1.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -16.57

33, -1.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -16.31

33, -1.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -15.99

33, -1.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -15.69

33, -1.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -15.34

33, -1.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -15.01

33, -1.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -14.71

33, -1.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -14.35

33, -1.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -13.95

33, -1.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -13.61

33, -1.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -13.26

33, -1.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.91

33, -1.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.45

33, -1.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.10

33, -1.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.69

33, -1.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.22

33, -1.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -10.83

33, -1.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -10.45

33, -1.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -9.97

33, -0.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -9.49

33, -0.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -9.06

33, -0.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -8.61

33, -0.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -8.17

33, -0.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.69

33, -0.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.18

33, -0.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.74

33, -0.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.26

33, -0.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.72

33, -0.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.22

33, -0.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.71

33, -0.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.18

33, -0.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -3.71

33, -0.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -3.13

33, -0.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -2.59

33, -0.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -2.07

33, -0.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -1.64

33, -0.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -1.07

33, -0.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -0.52

33, 0.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -0.03

33, 0.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 0.53

33, 0.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 1.13

33, 0.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 1.62

33, 0.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 2.14

33, 0.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 2.59

33, 0.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.16

33, 0.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.69

33, 0.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 4.20

33, 0.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 4.73

33, 0.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.22

33, 0.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.78

33, 0.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.21

33, 0.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.74

33, 0.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.26

33, 0.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 7.76

33, 0.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.15

33, 0.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 8.64

33, 0.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.09

33, 0.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 9.61

33, 1.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.01

33, 1.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.45

33, 1.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 10.83

33, 1.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.24

33, 1.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 11.69
