T,F,B,Eta,-x,+x
1.000, 0.450, 2.000,  1.000, 0.332, 0.668
1.000, 0.500, 2.000,  1.000, 0.314, 0.686
1.000, 0.550, 2.000,  1.000, 0.295, 0.705
1.000, 0.600, 2.000,  1.000, 0.276, 0.724
1.000, 0.650, 2.000,  1.000, 0.259, 0.741
1.000, 0.700, 2.000,  1.000, 0.245, 0.755
1.000, 0.750, 2.000,  1.000, 0.228, 0.772
1.000, 0.800, 2.000,  1.000, 0.214, 0.786
1.000, 0.850, 2.000,  1.000, 0.202, 0.798
1.000, 0.900, 2.000,  1.000, 0.190, 0.810
1.000, 0.950, 2.000,  1.000, 0.178, 0.822
1.000, 1.000, 2.000,  1.000, 0.165, 0.835
1.000, 1.050, 2.000,  1.000, 0.155, 0.845
1.000, 1.100, 2.000,  1.000, 0.143, 0.857
1.000, 1.150, 2.000,  1.000, 0.130, 0.870
1.000, 1.200, 2.000,  1.000, 0.121, 0.879
1.000, 1.250, 2.000,  1.000, 0.111, 0.889
1.000, 1.300, 2.000,  1.000, 0.105, 0.895
1.000, 1.350, 2.000,  1.000, 0.098, 0.902
1.000, 1.400, 2.000,  1.000, 0.094, 0.906
1.000, 1.450, 2.000,  1.000, 0.085, 0.915
1.000, 1.500, 2.000,  1.000, 0.079, 0.921
1.000, 1.550, 2.000,  1.000, 0.073, 0.927
1.000, 1.600, 2.000,  1.000, 0.067, 0.933
1.000, 1.650, 2.000,  1.000, 0.062, 0.938
1.000, 1.700, 2.000,  1.000, 0.056, 0.944
1.000, 1.750, 2.000,  1.000, 0.053, 0.947
1.000, 1.800, 2.000,  1.000, 0.047, 0.953
1.000, 1.850, 2.000,  1.000, 0.042, 0.958
1.000, 1.900, 2.000,  1.000, 0.038, 0.962
1.000, 1.950, 2.000,  1.000, 0.035, 0.965
1.000, 2.000, 2.000,  1.000, 0.032, 0.968
1.000, 2.050, 2.000,  1.000, 0.030, 0.970
1.000, 2.100, 2.000,  1.000, 0.027, 0.973
1.000, 2.150, 2.000,  1.000, 0.026, 0.974
1.000, 2.200, 2.000,  1.000, 0.024, 0.976
1.000, 2.250, 2.000,  1.000, 0.023, 0.977
1.000, 2.300, 2.000,  1.000, 0.022, 0.978
1.000, 2.350, 2.000,  1.000, 0.020, 0.980
1.000, 2.400, 2.000,  1.000, 0.019, 0.981
1.000, 2.450, 2.000,  1.000, 0.017, 0.983
1.000, 2.500, 2.000,  1.000, 0.016, 0.984
