
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
17, -1.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -8.11

17, -1.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.93

17, -1.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.77

17, -1.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.62

17, -1.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.44

17, -1.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.27

17, -1.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -7.11

17, -1.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.91

17, -1.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.72

17, -1.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.56

17, -1.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.36

17, -1.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -6.17

17, -1.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.98

17, -1.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.77

17, -1.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.56

17, -1.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.32

17, -1.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -5.13

17, -1.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.85

17, -0.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.61

17, -0.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.45

17, -0.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.22

17, -0.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -4.03

17, -0.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -3.75

17, -0.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -3.50

17, -0.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -3.28

17, -0.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -3.05

17, -0.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -2.71

17, -0.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -2.48

17, -0.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -2.23

17, -0.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -2.02

17, -0.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -1.78

17, -0.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -1.48

17, -0.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -1.22

17, -0.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -0.95

17, -0.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -0.69

17, -0.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -0.40

17, -0.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -0.13

17, 0.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 0.15

17, 0.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 0.43

17, 0.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 0.64

17, 0.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 0.88

17, 0.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 1.13

17, 0.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 1.44

17, 0.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 1.70

17, 0.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 1.96

17, 0.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 2.22

17, 0.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 2.48

17, 0.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 2.76

17, 0.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.03

17, 0.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.21

17, 0.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.46

17, 0.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.71

17, 0.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 3.95

17, 0.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 4.18

17, 0.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 4.44

17, 0.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 4.67

17, 0.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 4.89

17, 1.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.13

17, 1.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.37

17, 1.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.55

17, 1.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.72

17, 1.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 5.98

17, 1.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.14

17, 1.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, 6.37

