
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
9, 0.00, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, -0.04, -0.04, 0.06, 1.69

9, 0.20, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 0.52, 0.50, 1.20, 1.69

9, 0.40, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 1.09, 1.06, 0.98, 1.67

9, 0.60, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 1.61, 1.57, 0.22, 1.64

9, 0.80, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 2.12, 2.06, 0.21, 1.60

9, 1.00, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 2.61, 2.53, 0.03, 1.55

9, 1.20, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 3.06, 2.96, 0.02, 1.49

9, 1.40, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 3.47, 3.36, 0.10, 1.44

9, 1.60, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 3.86, 3.73, 0.51, 1.36

9, 1.80, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 4.20, 4.06, 0.82, 1.30

9, 2.00, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 4.52, 4.36, 0.65, 1.23

9, 2.20, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 4.81, 4.63, 1.11, 1.17

9, 2.40, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 5.06, 4.87, 0.13, 1.11

9, 2.60, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 5.29, 5.08, 0.80, 1.05

9, 2.80, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 5.50, 5.28, 0.69, 1.00

9, 3.00, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 5.69, 5.45, 0.45, 0.95

9, 3.20, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 5.86, 5.60, 0.30, 0.92

9, 3.40, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.01, 5.74, 0.44, 0.88

9, 3.60, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.15, 5.86, 0.29, 0.85

9, 3.80, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.28, 5.98, 0.74, 0.83

9, 4.00, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.40, 6.08, 0.81, 0.81

9, 4.20, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.51, 6.17, 0.64, 0.76

9, 4.40, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.61, 6.25, 0.52, 0.76

9, 4.60, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.71, 6.34, 0.81, 0.71

9, 4.80, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.79, 6.41, 0.78, 0.68

9, 5.00, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.88, 6.48, 0.55, 0.61

9, 5.20, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 6.96, 6.55, 0.49, 0.53

9, 5.40, 1.000, 1.00, 1.00, 100.00, 3.0e+04, 1.0e-02, 7.04, 6.61, 0.49, 0.42

