
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
65, 0.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 1.21, 1.21, 6.20, 7.37

65, 0.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 5.24, 5.23, 5.59, 6.97

65, 0.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 9.21, 9.19, 5.23, 6.42

65, 0.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 13.18, 13.15, 5.22, 5.83

65, 0.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 16.83, 16.78, 5.53, 5.44

65, 1.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 20.46, 20.40, 5.80, 5.02

65, 1.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 23.64, 23.56, 4.76, 4.91

65, 1.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 26.96, 26.87, 4.66, 4.35

65, 1.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 29.72, 29.62, 3.26, 3.91

65, 1.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 32.19, 32.07, 3.27, 3.93

65, 2.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 34.48, 34.35, 2.13, 3.75

65, 2.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 36.74, 36.60, 2.36, 3.06

65, 2.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 38.68, 38.53, 1.09, 1.68

65, 2.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 40.27, 40.11, 1.30, 2.57

65, 2.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 41.64, 41.47, 0.67, 4.68

65, 3.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 43.17, 42.98, 0.03, 3.16

65, 3.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 44.52, 44.31, 0.22, -nan

65, 3.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 45.84, 45.63, 0.45, -nan

65, 3.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 46.98, 46.75, 0.79, -nan

65, 3.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 47.63, 47.39, 0.53, -nan

