
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
65, 4.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 48.14, 47.88, 0.95, 4.74

65, 4.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 48.69, 48.42, 2.32, 6.41

65, 4.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 49.24, 48.96, 2.16, 7.53

65, 4.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 49.83, 49.54, 2.15, 7.93

65, 4.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 50.36, 50.05, 2.47, 7.94

65, 5.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 51.15, 50.83, 1.56, 6.79

65, 5.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 51.71, 51.38, 1.20, 6.08

65, 5.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 52.23, 51.88, 1.20, 5.50

65, 5.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 52.66, 52.31, 1.24, 5.80

65, 5.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 53.05, 52.68, 1.00, 5.76

65, 6.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 53.39, 53.01, 0.96, 6.31

65, 6.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 53.70, 53.30, 0.64, 6.79

65, 6.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 54.03, 53.62, 0.75, 6.77

65, 6.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 54.29, 53.87, 1.14, 7.10

65, 6.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 54.63, 54.19, 0.60, 6.99

65, 7.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 54.93, 54.48, 0.50, 6.95

65, 7.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 55.32, 54.86, 0.35, 5.90

65, 7.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 55.65, 55.17, 0.38, 5.20

65, 7.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 55.93, 55.45, 0.24, 4.60

65, 7.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 56.35, 55.85, 0.10, 0.06

65, 8.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 56.70, 56.19, 0.22, -nan

65, 8.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 57.14, 56.62, 0.11, -nan

65, 8.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 57.36, 56.82, 0.38, -nan

65, 8.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 57.62, 57.07, 0.91, -nan

65, 8.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 57.82, 57.25, 0.26, -nan

65, 9.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 57.99, 57.42, 0.38, -nan

65, 9.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 58.21, 57.62, 0.52, -nan

65, 9.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 58.33, 57.73, 0.41, -nan

65, 9.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 58.47, 57.86, 0.54, -nan

65, 9.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 58.59, 57.96, 0.64, -nan

65, 10.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+03, 1.0e-03, 58.73, 58.09, 0.24, -nan
