
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
65, 0.00, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 1.16, 1.16, 5.99, 7.83

65, 0.20, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 5.50, 5.37, 7.16, 7.21

65, 0.40, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 9.64, 9.39, 7.07, 6.70

65, 0.60, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 13.67, 13.29, 6.49, 6.23

65, 0.80, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 17.62, 17.11, 5.39, 5.67

65, 1.00, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 21.41, 20.77, 5.84, 5.29

65, 1.20, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 24.93, 24.17, 4.71, 4.54

65, 1.40, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 28.10, 27.20, 3.79, 4.71

65, 1.60, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 31.09, 30.07, 3.76, 3.46

65, 1.80, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 33.78, 32.63, 3.34, 3.87

65, 2.00, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 36.19, 34.91, 3.58, 3.67

65, 2.20, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 38.53, 37.13, 1.89, 2.40

65, 2.40, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 40.54, 39.00, 2.47, 2.95

65, 2.60, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 42.19, 40.52, 2.34, 3.97

65, 2.80, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 43.98, 42.19, 1.43, 2.64

65, 3.00, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 45.62, 43.70, 0.74, -nan

65, 3.20, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 47.13, 45.08, 1.08, -nan

65, 3.40, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 48.01, 45.83, 0.16, 3.10

65, 3.60, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 48.88, 46.58, 0.04, 5.68

65, 3.80, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 49.84, 47.41, 1.45, 6.58

65, 4.00, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 50.86, 48.30, 1.26, 5.93

65, 4.20, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 51.79, 49.10, 1.09, 5.73

65, 4.40, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 52.49, 49.67, 1.54, 6.50

65, 4.60, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 53.15, 50.21, 2.05, 7.00

65, 4.80, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 53.82, 50.75, 1.94, 7.50

65, 5.00, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 54.42, 51.22, 1.95, 7.80

65, 5.20, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 55.17, 51.84, 1.90, 6.94

65, 5.40, 1.000, 1.00, 1.00, 100.00, 3.0e+03, 1.0e-03, 55.85, 52.39, 1.65, 6.18

65, 5.60, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 56.51, 52.93, 2.75, 5.90

65, 5.80, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 56.90, 53.19, 2.83, 6.67

65, 6.00, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 57.38, 53.54, 2.61, 6.98

65, 6.20, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 57.85, 53.88, 2.63, 7.03

65, 6.40, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 58.40, 54.31, 2.56, 6.06

65, 6.60, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 59.00, 54.77, 2.38, 4.30

65, 6.80, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 59.55, 55.20, 2.14, 0.43

65, 7.00, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 60.10, 55.62, 1.74, -nan

65, 7.20, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 60.61, 56.00, 1.64, -nan

65, 7.40, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 61.00, 56.27, 1.34, -nan

65, 7.60, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 61.36, 56.50, 1.34, -nan

65, 7.80, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 61.75, 56.75, 1.23, -nan

65, 8.00, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 62.14, 57.02, 1.22, -nan

65, 8.20, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 62.49, 57.24, 1.22, -nan

65, 8.40, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 62.83, 57.45, 1.18, -nan

65, 8.60, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 63.10, 57.59, 1.24, -nan

65, 8.80, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 63.32, 57.68, 1.32, -nan

65, 9.00, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 63.50, 57.74, 1.42, -nan

65, 9.20, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 63.68, 57.79, 1.55, -nan

65, 9.40, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 63.83, 57.81, 1.69, -nan

65, 9.60, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 63.96, 57.82, 1.84, 3.16

65, 9.80, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 64.09, 57.82, 2.00, 5.23

65, 10.00, 1.000, 1.00, 1.00, 100.00, 1.8e+03, 1.0e-03, 64.19, 57.79, 2.17, 6.88
