
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
17, 0.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 0.23, 0.23, 1.33, 3.01

17, 0.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 1.29, 1.25, 1.22, 2.89

17, 0.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 2.30, 2.23, 0.10, 2.95

17, 0.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 3.33, 3.23, 1.81, 2.84

17, 0.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 4.11, 3.99, 0.54, 2.72

17, 1.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 5.13, 4.97, 0.76, 2.41

17, 1.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 6.12, 5.93, 0.09, 2.42

17, 1.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 6.95, 6.73, 1.41, 2.20

17, 1.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 7.64, 7.38, 0.24, 2.09

17, 1.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 8.26, 7.98, 0.80, 1.91

17, 2.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 8.93, 8.61, 0.76, 1.75

17, 2.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 9.50, 9.15, 1.51, 1.73

17, 2.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 10.08, 9.69, 1.18, 1.60

17, 2.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 10.53, 10.11, 1.26, 1.44

17, 2.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 10.92, 10.47, 1.38, 1.41

17, 3.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 11.36, 10.88, 1.18, 1.33

17, 3.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 11.61, 11.10, 0.83, 1.30

17, 3.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 12.06, 11.52, 0.97, 1.20

17, 3.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 12.29, 11.71, 1.52, 1.12

17, 3.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 12.54, 11.93, 1.06, 1.14

