
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
33, 0.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 0.58, 0.58, 0.65, 6.03

33, 0.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 2.45, 2.39, 0.11, 5.64

33, 0.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 4.34, 4.21, 0.16, 5.19

33, 0.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 6.23, 6.04, 0.02, 4.83

33, 0.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 8.18, 7.92, 0.07, 4.39

33, 1.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 9.93, 9.61, 0.66, 3.95

33, 1.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 11.71, 11.32, 0.40, 3.56

33, 1.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 13.26, 12.81, 0.35, 3.22

33, 1.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 14.61, 14.09, 1.25, 3.09

33, 1.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 15.96, 15.38, 1.08, 2.78

33, 2.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 17.40, 16.76, 0.76, 2.47

33, 2.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 18.79, 18.09, 0.41, 2.19

33, 2.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 19.58, 18.81, 0.83, 2.08

33, 2.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 20.58, 19.74, 0.99, 1.88

33, 2.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 21.44, 20.55, 0.96, 1.78

33, 3.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 22.27, 21.31, 1.23, 1.74

33, 3.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 23.01, 21.98, 0.51, 1.57

33, 3.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 23.64, 22.55, 1.47, 1.50

33, 3.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 24.18, 23.03, 0.88, 1.49

33, 3.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 24.87, 23.65, 1.43, 1.37

33, 4.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 25.26, 23.98, 1.58, 1.35

33, 4.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 25.77, 24.43, 1.38, 1.25

33, 4.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 26.16, 24.75, 1.59, 1.26

33, 4.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 26.55, 25.08, 1.72, 1.18

33, 4.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 26.90, 25.37, 1.59, 1.18

33, 5.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 27.21, 25.61, 1.45, 1.14

33, 5.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 27.57, 25.91, 1.52, 1.12

33, 5.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 27.88, 26.15, 1.14, 1.10

33, 5.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 28.13, 26.34, 1.31, 1.08

33, 5.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 28.44, 26.59, 0.83, 1.02

33, 6.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 28.68, 26.76, 0.83, 1.03

33, 6.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 28.93, 26.95, 0.80, 1.01

33, 6.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 29.11, 27.07, 0.82, 0.99

33, 6.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 29.35, 27.23, 0.88, 0.95

33, 6.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 29.55, 27.37, 0.88, 0.92

33, 7.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 29.72, 27.48, 1.04, 0.93

33, 7.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 29.97, 27.67, 1.00, 0.90

33, 7.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 30.15, 27.79, 1.09, 0.90

33, 7.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 30.32, 27.89, 0.97, 0.89

33, 7.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 30.52, 28.03, 1.03, 0.88

33, 8.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 30.67, 28.11, 0.97, 0.89

33, 8.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 30.83, 28.20, 0.84, 0.87

33, 8.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 30.99, 28.30, 0.87, 0.86

33, 8.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 31.16, 28.41, 0.88, 0.87

33, 8.80, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 31.32, 28.50, 0.90, 0.85

33, 9.00, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 31.46, 28.58, 0.86, 0.84

33, 9.20, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 31.60, 28.66, 0.89, 0.84

33, 9.40, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 31.75, 28.74, 0.95, 0.83

33, 9.60, 1.000, 1.00, 1.00, 100.00, 3.0e+02, 1.0e-02, 31.89, 28.82, 1.07, 0.83

