
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
9, 0.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, -0.26, -0.26, 0.88, 1.70

9, 0.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 0.28, 0.28, 1.58, 1.64

9, 0.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 0.87, 0.86, 2.02, 1.72

9, 0.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 1.46, 1.45, 1.40, 1.61

9, 0.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 1.94, 1.93, 1.93, 1.55

9, 1.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.47, 2.47, 0.90, 1.58

9, 1.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.90, 2.90, 0.14, 1.48

9, 1.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.21, 3.20, 1.79, 1.33

9, 1.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.53, 3.52, 2.31, 1.31

9, 1.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.94, 3.93, 2.04, 1.28

9, 2.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 4.28, 4.26, 1.30, 1.16

9, 2.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 4.56, 4.55, 1.74, 1.12

9, 2.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 4.71, 4.69, 1.70, 1.09

9, 2.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.02, 5.00, 1.30, 0.97

9, 2.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.14, 5.12, 1.39, 0.98

9, 3.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.35, 5.33, 0.97, 0.91

9, 3.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.47, 5.44, 1.15, 0.89

9, 3.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.63, 5.61, 0.80, 0.79

9, 3.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.76, 5.73, 0.78, 0.77

9, 3.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.88, 5.85, 0.45, 0.76

9, 4.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.99, 5.96, 0.58, 0.72

