
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
9, 4.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.11, 6.08, 0.61, 0.74

9, 4.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.18, 6.14, 0.56, 0.70

9, 4.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.27, 6.24, 0.64, 0.65

9, 4.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.36, 6.32, 0.48, 0.60

9, 5.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.42, 6.38, 0.24, 0.61

9, 5.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.48, 6.44, 0.32, 0.59

9, 5.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.53, 6.49, 0.38, 0.56

9, 5.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.59, 6.54, 0.34, 0.53

9, 5.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.63, 6.59, 0.37, 0.52

9, 6.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.70, 6.65, 0.39, 0.46

9, 6.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.74, 6.69, 0.42, 0.47

9, 6.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.81, 6.75, 0.28, 0.45

9, 6.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.83, 6.78, 0.41, 0.44

9, 6.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.89, 6.83, 0.43, 0.43

9, 7.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.92, 6.86, 0.44, 0.42

9, 7.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.93, 6.88, 0.50, 0.41

9, 7.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 6.98, 6.92, 0.38, 0.39

9, 7.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.02, 6.96, 0.39, 0.39

9, 7.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.03, 6.97, 0.36, 0.37

9, 8.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.07, 7.01, 0.19, 0.38

9, 8.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.09, 7.02, 0.33, 0.35

9, 8.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.12, 7.05, 0.36, 0.35

9, 8.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.14, 7.07, 0.35, 0.35

9, 8.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.17, 7.10, 0.62, 0.34

9, 9.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.20, 7.12, 0.40, 0.33

9, 9.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.22, 7.14, 0.39, 0.32

9, 9.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.24, 7.16, 0.37, 0.32

9, 9.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.26, 7.18, 0.29, 0.32

9, 9.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.27, 7.19, 0.37, 0.29

9, 10.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.29, 7.21, 0.38, 0.29
