
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
33, 6.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 27.50, 27.28, 0.48, 0.75

33, 7.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 27.64, 27.42, 0.50, 0.79

33, 7.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 27.79, 27.56, 0.14, 0.85

33, 7.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 27.93, 27.69, 0.38, 0.64

33, 7.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.02, 27.78, 0.54, 0.81

33, 7.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.12, 27.87, 0.24, 0.79

33, 8.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.27, 28.02, 0.27, 0.80

33, 8.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.39, 28.13, 0.12, 0.65

33, 8.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.45, 28.18, 0.06, 0.81

33, 8.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.56, 28.29, 0.15, 0.58

33, 8.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.64, 28.36, 0.15, 0.61

33, 9.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.74, 28.45, 0.02, 0.67

33, 9.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.84, 28.54, 0.08, 0.65

33, 9.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.91, 28.61, 0.11, 0.59

33, 9.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 28.96, 28.65, 0.12, 0.60

33, 9.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 29.08, 28.77, 0.19, 0.09

33, 10.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 29.13, 28.81, 0.11, 0.76
