
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
33, 0.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 1.73, 1.73, 0.43, 4.86

33, 0.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.52, 3.51, 0.13, 4.45

33, 0.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 5.43, 5.41, 2.07, 4.09

33, 0.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 7.46, 7.44, 0.77, 3.70

33, 0.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 8.90, 8.88, 0.75, 3.46

33, 1.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 10.96, 10.93, 1.04, 3.16

33, 1.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 12.47, 12.43, 0.91, 2.91

33, 1.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 13.87, 13.83, 2.51, 2.76

33, 1.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 15.15, 15.10, 0.64, 2.63

33, 1.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 16.39, 16.33, 0.14, 2.30

33, 2.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 17.68, 17.61, 0.36, 2.11

33, 2.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 18.66, 18.58, 0.29, 2.15

33, 2.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 19.49, 19.41, 0.13, 1.95

33, 2.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 20.31, 20.23, 0.01, 1.67

33, 2.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 21.06, 20.97, 0.61, 1.59

33, 3.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 21.60, 21.50, 0.41, 1.66

33, 3.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 22.33, 22.23, 0.39, 1.44

33, 3.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 22.88, 22.77, 1.09, 1.40

33, 3.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 23.32, 23.21, 1.03, 1.29

33, 3.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 23.79, 23.67, 0.44, 1.32

33, 4.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 24.19, 24.07, 0.42, 1.29

33, 4.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 24.60, 24.47, 0.78, 1.14

33, 4.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 24.91, 24.77, 0.23, 1.08

33, 4.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 25.19, 25.04, 0.75, 1.18

33, 4.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 25.49, 25.34, 0.72, 1.01

33, 5.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 25.69, 25.53, 0.74, 1.07

33, 5.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 25.95, 25.79, 0.68, 1.06

33, 5.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 26.25, 26.08, 0.05, 1.00

33, 5.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 26.39, 26.21, 0.75, 0.89

33, 5.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 26.59, 26.40, 0.23, 0.94

33, 6.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 26.89, 26.70, 0.27, 0.89

33, 6.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 27.08, 26.88, 0.49, 0.83

33, 6.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 27.21, 27.01, 0.48, 0.84

33, 6.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 27.37, 27.15, 0.59, 0.87

