
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
32, -5.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 106.03, 35.96, 0.2943, 1.6800

32, -4.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 105.84, 35.93, 0.2942, 1.6644

32, -4.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 105.65, 35.91, 0.2942, 1.6489

32, -4.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 105.46, 35.89, 0.2942, 1.6333

32, -4.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 105.28, 35.88, 0.2942, 1.6179

32, -4.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 105.09, 35.86, 0.2942, 1.6027

32, -4.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 104.91, 35.84, 0.2942, 1.5875

32, -4.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 104.72, 35.83, 0.2941, 1.5724

32, -4.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 104.53, 35.81, 0.2941, 1.5574

32, -4.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 104.34, 35.80, 0.2941, 1.5425

32, -4.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 104.14, 35.78, 0.2941, 1.5276

32, -4.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 103.95, 35.77, 0.2941, 1.5128

32, -4.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 103.75, 35.75, 0.2941, 1.4982

32, -4.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 103.55, 35.74, 0.2941, 1.4836

32, -4.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 103.35, 35.72, 0.2940, 1.4691

32, -4.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 103.15, 35.70, 0.2940, 1.4546

32, -4.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 102.96, 35.68, 0.2940, 1.4402

32, -4.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 102.76, 35.66, 0.2940, 1.4259

32, -4.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 102.56, 35.63, 0.2940, 1.4117

32, -4.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 102.36, 35.61, 0.2940, 1.3976

32, -4.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 102.16, 35.58, 0.2939, 1.3837

32, -3.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 101.96, 35.55, 0.2939, 1.3698

32, -3.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 101.75, 35.51, 0.2939, 1.3560

32, -3.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 101.55, 35.47, 0.2939, 1.3422

32, -3.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 101.34, 35.43, 0.2939, 1.3286

32, -3.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 101.14, 35.39, 0.2939, 1.3151

