
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
4, -5.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.48, 3.22, 2.6159, 1.3460

4, -4.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.48, 3.22, 2.6159, 1.3348

4, -4.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.48, 3.22, 2.6155, 1.3233

4, -4.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 3.21, 2.6154, 1.3121

4, -4.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 3.21, 2.6154, 1.3011

4, -4.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 3.21, 2.6152, 1.2900

4, -4.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.20, 2.6151, 1.2790

4, -4.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.20, 2.6152, 1.2681

4, -4.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.19, 2.6152, 1.2574

4, -4.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.19, 2.6151, 1.2468

4, -4.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.19, 2.6150, 1.2360

4, -4.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.18, 2.6150, 1.2256

4, -4.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.18, 2.6149, 1.2150

4, -4.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.17, 2.6150, 1.2047

4, -4.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.17, 2.6149, 1.1945

4, -4.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.17, 2.6148, 1.1843

4, -4.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.16, 2.6148, 1.1742

4, -4.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.16, 2.6148, 1.1642

4, -4.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.15, 2.6148, 1.1545

4, -4.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.15, 2.6149, 1.1448

4, -4.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.14, 2.6148, 1.1351

4, -3.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.14, 2.6148, 1.1257

4, -3.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.14, 2.6148, 1.1161

4, -3.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.13, 2.6150, 1.1066

4, -3.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 3.13, 2.6151, 1.0973

4, -3.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 3.12, 2.6152, 1.0879

4, -3.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 3.12, 2.6152, 1.0786

4, -3.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 3.11, 2.6154, 1.0695

4, -3.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 3.11, 2.6155, 1.0605

4, -3.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 3.11, 2.6155, 1.0515

4, -3.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 3.10, 2.6157, 1.0428

4, -3.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 3.10, 2.6160, 1.0341

4, -3.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 3.09, 2.6161, 1.0252

4, -3.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 3.09, 2.6167, 1.0167

