
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
32, -5.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 137.47, 41.37, 2.9391, 8.3782

32, -4.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 137.38, 41.34, 2.9390, 8.3471

32, -4.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 137.28, 41.31, 2.9392, 8.3159

32, -4.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 137.16, 41.28, 2.9393, 8.2848

32, -4.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 137.05, 41.25, 2.9391, 8.2537

32, -4.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.94, 41.22, 2.9391, 8.2231

32, -4.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.85, 41.19, 2.9391, 8.1920

32, -4.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.76, 41.15, 2.9389, 8.1612

32, -4.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.66, 41.12, 2.9388, 8.1303

32, -4.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.57, 41.09, 2.9389, 8.0999

32, -4.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.47, 41.05, 2.9389, 8.0696

32, -4.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.37, 41.02, 2.9389, 8.0390

32, -4.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.27, 40.98, 2.9389, 8.0093

32, -4.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.16, 40.95, 2.9387, 7.9792

32, -4.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 136.05, 40.91, 2.9387, 7.9487

32, -4.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.95, 40.88, 2.9386, 7.9182

32, -4.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.86, 40.84, 2.9385, 7.8883

32, -4.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.78, 40.81, 2.9382, 7.8584

32, -4.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.68, 40.78, 2.9383, 7.8290

32, -4.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.58, 40.74, 2.9382, 7.7995

32, -4.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.49, 40.71, 2.9382, 7.7698

32, -3.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.41, 40.68, 2.9381, 7.7405

32, -3.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.32, 40.64, 2.9381, 7.7113

32, -3.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.22, 40.61, 2.9380, 7.6822

32, -3.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.14, 40.58, 2.9381, 7.6527

32, -3.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 135.05, 40.54, 2.9383, 7.6237

32, -3.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.96, 40.51, 2.9381, 7.5945

32, -3.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.88, 40.48, 2.9381, 7.5655

32, -3.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.79, 40.44, 2.9380, 7.5367

32, -3.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.70, 40.41, 2.9380, 7.5078

32, -3.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.61, 40.37, 2.9380, 7.4795

32, -3.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.53, 40.34, 2.9380, 7.4509

32, -3.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.44, 40.31, 2.9379, 7.4226

32, -3.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.35, 40.28, 2.9379, 7.3941

32, -3.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.27, 40.24, 2.9380, 7.3658

32, -3.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.14, 40.21, 2.9379, 7.3375

32, -3.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 133.94, 40.18, 2.9377, 7.3097

32, -3.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 133.73, 40.15, 2.9380, 7.2814

32, -3.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 133.52, 40.12, 2.9380, 7.2537

32, -3.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 133.30, 40.08, 2.9381, 7.2258

32, -3.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 133.09, 40.05, 2.9378, 7.1983

32, -2.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 132.87, 40.02, 2.9379, 7.1713

32, -2.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 132.66, 39.98, 2.9379, 7.1440

32, -2.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 132.44, 39.95, 2.9381, 7.1166

32, -2.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 132.22, 39.92, 2.9381, 7.0893

32, -2.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 132.01, 39.88, 2.9380, 7.0617

32, -2.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 131.79, 39.85, 2.9380, 7.0350

32, -2.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 131.58, 39.82, 2.9381, 7.0082

32, -2.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 131.36, 39.79, 2.9378, 6.9816

32, -2.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 131.14, 39.75, 2.9379, 6.9546

32, -2.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 130.93, 39.72, 2.9376, 6.9280

32, -2.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 130.71, 39.69, 2.9377, 6.9014

32, -2.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 130.49, 39.65, 2.9377, 6.8754

32, -2.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 130.27, 39.62, 2.9378, 6.8493

32, -2.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 130.05, 39.58, 2.9378, 6.8226

32, -2.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 129.82, 39.55, 2.9379, 6.7966

32, -2.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 129.60, 39.51, 2.9379, 6.7702

32, -2.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 129.38, 39.47, 2.9380, 6.7427

