
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
8, -5.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.44, 7.74, 2.8046, 1.8966

8, -4.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.42, 7.73, 2.8044, 1.8824

8, -4.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.41, 7.73, 2.8041, 1.8682

8, -4.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.40, 7.72, 2.8041, 1.8543

8, -4.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.38, 7.71, 2.8041, 1.8404

8, -4.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.37, 7.70, 2.8038, 1.8265

8, -4.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.36, 7.69, 2.8038, 1.8126

8, -4.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.34, 7.68, 2.8037, 1.7989

8, -4.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.33, 7.67, 2.8035, 1.7852

8, -4.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.32, 7.66, 2.8033, 1.7716

8, -4.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.30, 7.66, 2.8032, 1.7580

8, -4.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.29, 7.65, 2.8032, 1.7446

8, -4.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.28, 7.64, 2.8029, 1.7311

8, -4.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.26, 7.63, 2.8029, 1.7178

8, -4.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.25, 7.62, 2.8028, 1.7046

8, -4.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.23, 7.61, 2.8027, 1.6915

8, -4.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.22, 7.60, 2.8026, 1.6785

