
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
8, -5.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.83, 7.66, 0.0295, 0.4434

8, -4.95, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.82, 7.65, 0.0295, 0.4353

8, -4.90, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.81, 7.64, 0.0295, 0.4273

8, -4.85, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.80, 7.63, 0.0295, 0.4194

8, -4.80, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.78, 7.62, 0.0295, 0.4116

8, -4.75, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.77, 7.61, 0.0295, 0.4038

8, -4.70, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.76, 7.59, 0.0294, 0.3961

8, -4.65, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.75, 7.58, 0.0294, 0.3885

8, -4.60, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.74, 7.57, 0.0294, 0.3810

8, -4.55, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.73, 7.56, 0.0294, 0.3735

8, -4.50, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.72, 7.56, 0.0294, 0.3662

8, -4.45, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.71, 7.55, 0.0294, 0.3588

8, -4.40, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.70, 7.54, 0.0294, 0.3516

8, -4.35, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.69, 7.54, 0.0294, 0.3444

8, -4.30, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.68, 7.53, 0.0294, 0.3373

8, -4.25, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.67, 7.53, 0.0293, 0.3302

8, -4.20, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.66, 7.52, 0.0293, 0.3233

8, -4.15, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.65, 7.52, 0.0293, 0.3164

8, -4.10, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.64, 7.51, 0.0293, 0.3097

8, -4.05, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.63, 7.51, 0.0293, 0.3029

8, -4.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.62, 7.50, 0.0293, 0.2963

8, -3.95, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.61, 7.50, 0.0293, 0.2898

8, -3.90, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.61, 7.50, 0.0292, 0.2833

8, -3.85, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.60, 7.50, 0.0292, 0.2769

8, -3.80, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.59, 7.49, 0.0292, 0.2705

8, -3.75, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.58, 7.49, 0.0292, 0.2642

8, -3.70, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.57, 7.49, 0.0292, 0.2581

8, -3.65, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.56, 7.49, 0.0292, 0.2519

8, -3.60, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.56, 7.48, 0.0291, 0.2459

8, -3.55, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.55, 7.48, 0.0291, 0.2399

8, -3.50, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.54, 7.48, 0.0291, 0.2340

8, -3.45, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.53, 7.47, 0.0291, 0.2282

8, -3.40, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.52, 7.47, 0.0291, 0.2225

8, -3.35, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.52, 7.46, 0.0291, 0.2168

8, -3.30, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.51, 7.46, 0.0290, 0.2112

8, -3.25, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.50, 7.45, 0.0290, 0.2057

8, -3.20, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.49, 7.45, 0.0290, 0.2002

8, -3.15, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.49, 7.44, 0.0290, 0.1949

8, -3.10, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.48, 7.43, 0.0290, 0.1896

8, -3.05, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.47, 7.43, 0.0290, 0.1844

8, -3.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.47, 7.42, 0.0289, 0.1792

8, -2.95, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.46, 7.41, 0.0289, 0.1742

8, -2.90, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.45, 7.40, 0.0289, 0.1692

8, -2.85, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.44, 7.38, 0.0289, 0.1643

