
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
4, -5.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.26, 0.0276, 0.4122

4, -4.95, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.26, 0.0276, 0.4044

4, -4.90, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.26, 0.0276, 0.3967

4, -4.85, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.25, 0.0275, 0.3891

4, -4.80, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.25, 0.0275, 0.3815

4, -4.75, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.25, 0.0275, 0.3740

4, -4.70, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.25, 0.0275, 0.3666

4, -4.65, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.25, 0.0275, 0.3593

4, -4.60, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.25, 0.0275, 0.3520

4, -4.55, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.25, 0.0274, 0.3448

4, -4.50, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.24, 0.0274, 0.3377

4, -4.45, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.24, 0.0274, 0.3307

4, -4.40, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.24, 0.0274, 0.3237

4, -4.35, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.24, 0.0274, 0.3168

4, -4.30, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.24, 0.0274, 0.3100

4, -4.25, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.24, 0.0274, 0.3033

4, -4.20, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.23, 0.0273, 0.2966

4, -4.15, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.23, 0.0273, 0.2901

4, -4.10, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.23, 0.0273, 0.2835
