
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
16, -5.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 29.01, 17.78, 2.8952, 3.4790

16, -4.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.96, 17.76, 2.8953, 3.4588

16, -4.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.90, 17.74, 2.8953, 3.4386

16, -4.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.85, 17.73, 2.8954, 3.4188

16, -4.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.80, 17.71, 2.8954, 3.3987

16, -4.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.74, 17.69, 2.8953, 3.3788

16, -4.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.69, 17.68, 2.8953, 3.3592

16, -4.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.64, 17.66, 2.8954, 3.3396

16, -4.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.59, 17.65, 2.8955, 3.3199

16, -4.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.53, 17.63, 2.8952, 3.3004

16, -4.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.48, 17.61, 2.8953, 3.2811

16, -4.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.43, 17.59, 2.8952, 3.2615

16, -4.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.37, 17.58, 2.8952, 3.2421

16, -4.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.32, 17.56, 2.8951, 3.2228

16, -4.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.27, 17.54, 2.8951, 3.2036

16, -4.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.21, 17.53, 2.8949, 3.1843

16, -4.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.16, 17.51, 2.8949, 3.1653

16, -4.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.11, 17.49, 2.8947, 3.1463

16, -4.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.06, 17.47, 2.8947, 3.1275

16, -4.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 28.00, 17.46, 2.8945, 3.1085

