
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
16, -5.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.56, 16.46, 0.0304, 0.5089

16, -4.95, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.49, 16.46, 0.0303, 0.5005

16, -4.90, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.42, 16.45, 0.0303, 0.4922

16, -4.85, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.36, 16.45, 0.0303, 0.4841

16, -4.80, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.29, 16.44, 0.0303, 0.4760

16, -4.75, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.22, 16.44, 0.0303, 0.4680

16, -4.70, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.15, 16.43, 0.0302, 0.4601

16, -4.65, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.08, 16.42, 0.0302, 0.4521

16, -4.60, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 24.01, 16.41, 0.0302, 0.4442

16, -4.55, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.94, 16.39, 0.0302, 0.4363

16, -4.50, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.87, 16.38, 0.0302, 0.4283

16, -4.45, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.81, 16.37, 0.0302, 0.4204

16, -4.40, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.74, 16.36, 0.0302, 0.4126

16, -4.35, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.67, 16.34, 0.0301, 0.4048

16, -4.30, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.61, 16.33, 0.0301, 0.3971

16, -4.25, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.54, 16.31, 0.0301, 0.3894

16, -4.20, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.48, 16.29, 0.0301, 0.3818

16, -4.15, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.41, 16.26, 0.0301, 0.3743

16, -4.10, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.35, 16.23, 0.0301, 0.3669

