
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
64, -2.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 291.03, 75.08, 0.2933, 2.7435

64, -2.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 290.56, 75.01, 0.2933, 2.7262

64, -2.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 290.10, 74.95, 0.2932, 2.7092

64, -2.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 289.63, 74.90, 0.2932, 2.6923

64, -2.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 289.22, 74.85, 0.2932, 2.6752

64, -2.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 288.83, 74.81, 0.2932, 2.6582

64, -2.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 288.48, 74.78, 0.2932, 2.6411

64, -2.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 288.15, 74.75, 0.2932, 2.6243

64, -2.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 287.84, 74.72, 0.2932, 2.6074

64, -2.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 287.54, 74.70, 0.2931, 2.5909

64, -2.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 287.22, 74.67, 0.2931, 2.5743

64, -2.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 286.91, 74.65, 0.2931, 2.5580

64, -2.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 286.63, 74.62, 0.2931, 2.5416

64, -2.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 286.29, 74.60, 0.2931, 2.5250

64, -1.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 285.96, 74.58, 0.2931, 2.5085

64, -1.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 285.64, 74.55, 0.2931, 2.4921

64, -1.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 285.31, 74.51, 0.2931, 2.4756

64, -1.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 284.92, 74.47, 0.2931, 2.4594

64, -1.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 284.59, 74.42, 0.2931, 2.4432

64, -1.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 284.26, 74.37, 0.2931, 2.4273

64, -1.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 283.92, 74.32, 0.2931, 2.4110

64, -1.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 283.54, 74.27, 0.2930, 2.3952

64, -1.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 283.18, 74.21, 0.2930, 2.3795

64, -1.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 282.81, 74.14, 0.2930, 2.3637

64, -1.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 282.38, 74.06, 0.2930, 2.3480

64, -1.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 281.96, 73.97, 0.2930, 2.3321

64, -1.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 281.51, 73.87, 0.2929, 2.3165

64, -1.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 281.05, 73.77, 0.2929, 2.3010

64, -1.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 280.58, 73.66, 0.2929, 2.2854

64, -1.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 280.09, 73.55, 0.2929, 2.2699

64, -1.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 279.60, 73.45, 0.2929, 2.2546

64, -1.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 279.06, 73.34, 0.2929, 2.2390

64, -1.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 278.55, 73.24, 0.2929, 2.2238

64, -1.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 278.05, 73.15, 0.2929, 2.2084

64, -0.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 277.53, 73.06, 0.2928, 2.1932

64, -0.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 277.01, 72.97, 0.2928, 2.1780

64, -0.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 276.56, 72.89, 0.2928, 2.1629

64, -0.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 276.12, 72.82, 0.2928, 2.1478

64, -0.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 275.64, 72.76, 0.2928, 2.1327

64, -0.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 275.19, 72.70, 0.2928, 2.1179

64, -0.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 274.78, 72.64, 0.2928, 2.1030

64, -0.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 274.36, 72.57, 0.2928, 2.0883

64, -0.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.98, 72.51, 0.2927, 2.0737

64, -0.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.60, 72.44, 0.2927, 2.0592

64, -0.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.30, 72.38, 0.2927, 2.0446

64, -0.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.98, 72.31, 0.2927, 2.0299

64, -0.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.67, 72.24, 0.2927, 2.0155

64, -0.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.40, 72.17, 0.2927, 2.0015

64, -0.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.13, 72.08, 0.2927, 1.9872

64, -0.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.86, 71.99, 0.2927, 1.9730

64, -0.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.57, 71.89, 0.2927, 1.9587

64, -0.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.26, 71.78, 0.2927, 1.9445

64, -0.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.95, 71.67, 0.2927, 1.9306

64, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.67, 71.53, 0.2927, 1.9166

64, 0.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.45, 71.39, 0.2927, 1.9030

64, 0.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.22, 71.20, 0.2927, 1.8890

64, 0.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.04, 70.98, 0.2927, 1.8757

64, 0.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.84, 70.75, 0.2927, 1.8622

64, 0.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.68, 70.47, 0.2927, 1.8489

64, 0.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.54, 70.17, 0.2927, 1.8356

64, 0.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.37, 69.85, 0.2927, 1.8223

64, 0.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.25, 69.51, 0.2927, 1.8092

64, 0.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.16, 69.19, 0.2927, 1.7966

64, 0.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.08, 68.85, 0.2927, 1.7841

64, 0.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.99, 68.53, 0.2926, 1.7715

64, 0.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.92, 68.16, 0.2926, 1.7587

64, 0.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.84, 67.80, 0.2926, 1.7462

64, 0.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.78, 67.40, 0.2927, 1.7336

