
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
4, -5.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 2.88, 26.2067, 8.7276

4, -4.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 2.88, 26.2845, 8.7400

4, -4.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 2.88, 26.2255, 8.6920

4, -4.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 2.87, 26.1973, 8.6346

4, -4.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 2.86, 26.2024, 8.6003

4, -4.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 2.86, 26.2270, 8.6111

4, -4.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 2.86, 26.1427, 8.5304

4, -4.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 2.85, 26.2291, 8.5629

4, -4.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 2.84, 26.1831, 8.5195

4, -4.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 2.83, 26.2339, 8.5346

4, -4.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 2.83, 26.2183, 8.5093

4, -4.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 2.83, 26.2596, 8.5111

4, -4.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 2.82, 26.2390, 8.4609

4, -4.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 2.82, 26.3117, 8.5263

4, -4.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 2.81, 26.2130, 8.4173

4, -4.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 2.81, 26.1636, 8.3550

4, -4.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 2.80, 26.2213, 8.3734

4, -4.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 2.80, 26.2342, 8.3448

4, -4.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 2.79, 26.2058, 8.3463

4, -4.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 2.79, 26.2361, 8.3086

4, -4.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 2.78, 26.2064, 8.2716

4, -3.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 2.77, 26.2085, 8.2541

4, -3.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 2.77, 26.2156, 8.2447

4, -3.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 2.76, 26.3199, 8.2898

4, -3.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 2.76, 26.2643, 8.2460

4, -3.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 2.75, 26.3299, 8.2458

4, -3.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 2.75, 26.1515, 8.1601

4, -3.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 2.74, 26.2458, 8.1873

4, -3.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 2.74, 26.1641, 8.0720

4, -3.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 2.73, 26.2325, 8.1226

4, -3.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.36, 2.72, 26.2528, 8.1213

4, -3.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 2.73, 26.1798, 8.0450

4, -3.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.36, 2.71, 26.2389, 8.0676

4, -3.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.36, 2.72, 26.1828, 8.0100

4, -3.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.35, 2.71, 26.2120, 7.9982

4, -3.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.35, 2.69, 26.1891, 7.9904

4, -3.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.34, 2.70, 26.1913, 7.9465

4, -3.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.34, 2.69, 26.2234, 7.9565

4, -3.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.34, 2.68, 26.2733, 7.9606

4, -3.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.33, 2.67, 26.2365, 7.9065

4, -3.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.33, 2.67, 26.1714, 7.8383

4, -2.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.32, 2.66, 26.2265, 7.8714

4, -2.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.32, 2.65, 26.2404, 7.8626

4, -2.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.32, 2.65, 26.2788, 7.8616

4, -2.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.32, 2.65, 26.1226, 7.7528

4, -2.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.31, 2.64, 26.2137, 7.8076

4, -2.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.30, 2.63, 26.2030, 7.7405

