
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
4, -5.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.48, 3.27, 0.2639, 0.5363

4, -4.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.48, 3.27, 0.2640, 0.5278

4, -4.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.48, 3.27, 0.2639, 0.5194

4, -4.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 3.27, 0.2640, 0.5110

4, -4.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 3.26, 0.2640, 0.5028

4, -4.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 3.26, 0.2640, 0.4946

4, -4.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.47, 3.26, 0.2640, 0.4864

4, -4.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.25, 0.2640, 0.4784

4, -4.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.25, 0.2640, 0.4704

4, -4.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.25, 0.2640, 0.4626

4, -4.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.46, 3.25, 0.2640, 0.4547

4, -4.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.24, 0.2640, 0.4470

4, -4.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.24, 0.2641, 0.4394

4, -4.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.24, 0.2641, 0.4318

4, -4.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 3.23, 0.2641, 0.4243

4, -4.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.23, 0.2641, 0.4168

4, -4.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.23, 0.2641, 0.4095

4, -4.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.23, 0.2641, 0.4022

4, -4.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.44, 3.22, 0.2641, 0.3950

4, -4.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.22, 0.2641, 0.3878

4, -4.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.22, 0.2641, 0.3808

4, -3.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.22, 0.2641, 0.3738

4, -3.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.43, 3.21, 0.2641, 0.3669

4, -3.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.21, 0.2641, 0.3600

4, -3.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.21, 0.2641, 0.3532

4, -3.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.20, 0.2641, 0.3465

4, -3.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.42, 3.20, 0.2640, 0.3399

4, -3.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.20, 0.2640, 0.3333

4, -3.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.19, 0.2640, 0.3268

4, -3.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.19, 0.2640, 0.3204

4, -3.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.41, 3.19, 0.2640, 0.3141

4, -3.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 3.19, 0.2640, 0.3079

4, -3.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 3.18, 0.2639, 0.3017

4, -3.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 3.18, 0.2639, 0.2956

4, -3.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.40, 3.18, 0.2639, 0.2895

4, -3.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 3.17, 0.2639, 0.2836

4, -3.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 3.17, 0.2638, 0.2777

4, -3.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 3.17, 0.2638, 0.2719

4, -3.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.39, 3.16, 0.2638, 0.2662

4, -3.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 3.16, 0.2637, 0.2605

4, -3.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 3.16, 0.2637, 0.2550

4, -2.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 3.16, 0.2636, 0.2495

4, -2.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.38, 3.15, 0.2636, 0.2440

4, -2.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 3.15, 0.2635, 0.2387

4, -2.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 3.15, 0.2634, 0.2334

4, -2.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 3.14, 0.2634, 0.2282

4, -2.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.37, 3.14, 0.2633, 0.2230

4, -2.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.36, 3.14, 0.2633, 0.2180

4, -2.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.36, 3.13, 0.2632, 0.2130

4, -2.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.36, 3.13, 0.2631, 0.2081

4, -2.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.36, 3.13, 0.2630, 0.2033

4, -2.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.35, 3.13, 0.2630, 0.1985

4, -2.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.35, 3.12, 0.2629, 0.1938

4, -2.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.35, 3.12, 0.2628, 0.1892

4, -2.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.35, 3.12, 0.2628, 0.1847

4, -2.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.34, 3.11, 0.2627, 0.1802

4, -2.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.34, 3.11, 0.2626, 0.1758

4, -2.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.34, 3.11, 0.2626, 0.1715

4, -2.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.34, 3.10, 0.2625, 0.1673

4, -2.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.33, 3.10, 0.2625, 0.1631

4, -2.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.33, 3.10, 0.2624, 0.1590

