
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
32, -5.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 277.23, 57.82, 29.3632, 66.5621

32, -4.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 277.00, 57.78, 29.3619, 66.4622

32, -4.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 276.81, 57.75, 29.3739, 66.3920

32, -4.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 276.63, 57.72, 29.3769, 66.3149

32, -4.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 276.43, 57.68, 29.3559, 66.2023

32, -4.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 276.27, 57.65, 29.3572, 66.1327

32, -4.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 276.04, 57.61, 29.3638, 66.0510

32, -4.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 275.84, 57.57, 29.3615, 65.9618

32, -4.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 275.65, 57.54, 29.3638, 65.8863

32, -4.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 275.45, 57.49, 29.3709, 65.8081

32, -4.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 275.26, 57.46, 29.3605, 65.7115

32, -4.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 275.05, 57.43, 29.3608, 65.6326

32, -4.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 274.82, 57.39, 29.3675, 65.5536

32, -4.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 274.64, 57.36, 29.3686, 65.4686

32, -4.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 274.42, 57.33, 29.3544, 65.3843

32, -4.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 274.25, 57.28, 29.3728, 65.3134

32, -4.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 274.09, 57.25, 29.3568, 65.2231

32, -4.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.86, 57.21, 29.3672, 65.1432

32, -4.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.68, 57.18, 29.3659, 65.0551

32, -4.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.48, 57.14, 29.3635, 64.9769

32, -4.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.27, 57.10, 29.3562, 64.8919

32, -3.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 273.05, 57.06, 29.3784, 64.8208

32, -3.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.86, 57.03, 29.3647, 64.7299

32, -3.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.63, 56.99, 29.3682, 64.6586

32, -3.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.43, 56.96, 29.3805, 64.5757

32, -3.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.25, 56.92, 29.3724, 64.4978

32, -3.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 272.05, 56.88, 29.3524, 64.3963

32, -3.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.88, 56.84, 29.3594, 64.3220

32, -3.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.65, 56.80, 29.3642, 64.2403

32, -3.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.46, 56.77, 29.3621, 64.1564

32, -3.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.29, 56.73, 29.3567, 64.0794

32, -3.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 271.10, 56.70, 29.3594, 63.9969

32, -3.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.85, 56.66, 29.3787, 63.9211

32, -3.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.70, 56.62, 29.3537, 63.8320

32, -3.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.49, 56.58, 29.3413, 63.7325

32, -3.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.31, 56.55, 29.3484, 63.6604

32, -3.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 270.12, 56.51, 29.3628, 63.5888

32, -3.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.83, 56.46, 29.3729, 63.5136

32, -3.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.68, 56.43, 29.3761, 63.4346

32, -3.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.51, 56.40, 29.3544, 63.3413

32, -3.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.28, 56.37, 29.3606, 63.2626

32, -2.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.10, 56.33, 29.3612, 63.1820

32, -2.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.89, 56.29, 29.3657, 63.1075

32, -2.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.68, 56.25, 29.3608, 63.0242

32, -2.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.47, 56.22, 29.3652, 62.9425

32, -2.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 268.14, 56.17, 29.3701, 62.8677

32, -2.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 267.74, 56.14, 29.3721, 62.7938

32, -2.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 267.32, 56.10, 29.3664, 62.7086

32, -2.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 267.00, 56.07, 29.3687, 62.6277

32, -2.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 266.58, 56.03, 29.3545, 62.5366

32, -2.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 266.19, 55.99, 29.3473, 62.4614

32, -2.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 265.75, 55.95, 29.3623, 62.3801

32, -2.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 265.22, 55.90, 29.3669, 62.3033

32, -2.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 264.93, 55.87, 29.3775, 62.2262

32, -2.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 264.54, 55.84, 29.3717, 62.1487

32, -2.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 264.17, 55.80, 29.3653, 62.0623

32, -2.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 263.71, 55.76, 29.3722, 61.9950

32, -2.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 263.29, 55.72, 29.3715, 61.9235

32, -2.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 262.92, 55.68, 29.3623, 61.8327

32, -2.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 262.50, 55.64, 29.3776, 61.7574

32, -2.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 262.08, 55.61, 29.3747, 61.6791

32, -1.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 261.67, 55.57, 29.3794, 61.6049

32, -1.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 261.35, 55.53, 29.3765, 61.5331

32, -1.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 261.01, 55.50, 29.3604, 61.4319

32, -1.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 260.50, 55.46, 29.3742, 61.3702

32, -1.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 260.08, 55.41, 29.3739, 61.2895

32, -1.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 259.74, 55.38, 29.3617, 61.2064

32, -1.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 259.16, 55.33, 29.3924, 61.1449

32, -1.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 258.86, 55.30, 29.3680, 61.0472

32, -1.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 258.41, 55.25, 29.3777, 60.9661

32, -1.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 258.05, 55.22, 29.3598, 60.8888

32, -1.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 257.65, 55.18, 29.3688, 60.8076

32, -1.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 257.27, 55.15, 29.3694, 60.7367

32, -1.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 256.88, 55.11, 29.3620, 60.6521

32, -1.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 256.54, 55.08, 29.3688, 60.5919

32, -1.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 256.12, 55.03, 29.3660, 60.5099

32, -1.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 255.59, 54.98, 29.3825, 60.4275

32, -1.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 255.21, 54.95, 29.3826, 60.3583

32, -1.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 254.92, 54.93, 29.3545, 60.2676

32, -1.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 254.53, 54.87, 29.3701, 60.1940

32, -1.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 254.02, 54.83, 29.3672, 60.1184

32, -0.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 253.67, 54.80, 29.3671, 60.0359

32, -0.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 253.21, 54.75, 29.3675, 59.9545

32, -0.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 252.81, 54.71, 29.3706, 59.8923

32, -0.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 252.45, 54.67, 29.3674, 59.8067

