
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
16, -5.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 40.30, 20.43, 28.9433, 24.7237

16, -4.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 40.25, 20.42, 28.9193, 24.6628

16, -4.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 40.17, 20.40, 28.9207, 24.6136

16, -4.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 40.13, 20.38, 28.9047, 24.5582

16, -4.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 40.03, 20.35, 28.9226, 24.5174

16, -4.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.97, 20.33, 28.9262, 24.4730

16, -4.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.89, 20.31, 28.9250, 24.4219

16, -4.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.84, 20.30, 28.9052, 24.3626

16, -4.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.75, 20.27, 28.9385, 24.3345

16, -4.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.70, 20.25, 28.9182, 24.2720

16, -4.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.63, 20.23, 28.9007, 24.2114

16, -4.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.55, 20.20, 28.9181, 24.1715

16, -4.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.49, 20.18, 28.9021, 24.1159

16, -4.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.42, 20.17, 28.9237, 24.0837

16, -4.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.35, 20.14, 28.9058, 24.0167

16, -4.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.30, 20.13, 28.8928, 23.9685

16, -4.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.20, 20.10, 28.9160, 23.9292

16, -4.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.12, 20.07, 28.9525, 23.9039

16, -4.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.07, 20.06, 28.9090, 23.8308

16, -4.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 39.00, 20.04, 28.9267, 23.7958

16, -4.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 38.94, 20.01, 28.9025, 23.7333

16, -3.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 38.86, 19.99, 28.9241, 23.6967

16, -3.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 38.77, 19.96, 28.9388, 23.6618

16, -3.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 38.72, 19.95, 28.9170, 23.5955

16, -3.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 38.64, 19.92, 28.9184, 23.5440

