
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
8, -5.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.15, 7.71, 0.2822, 0.6533

8, -4.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.13, 7.70, 0.2822, 0.6439

8, -4.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.12, 7.70, 0.2822, 0.6345

8, -4.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.11, 7.69, 0.2822, 0.6252

8, -4.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.10, 7.68, 0.2822, 0.6161

8, -4.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.09, 7.68, 0.2822, 0.6069

8, -4.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.08, 7.67, 0.2822, 0.5979

8, -4.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.07, 7.66, 0.2822, 0.5889

8, -4.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.05, 7.65, 0.2822, 0.5800

8, -4.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.04, 7.65, 0.2822, 0.5712

8, -4.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.03, 7.64, 0.2822, 0.5625

8, -4.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.02, 7.63, 0.2822, 0.5538

8, -4.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.01, 7.63, 0.2822, 0.5452

8, -4.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.00, 7.62, 0.2822, 0.5367

8, -4.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.99, 7.61, 0.2823, 0.5283

8, -4.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.98, 7.61, 0.2823, 0.5199

8, -4.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.97, 7.60, 0.2823, 0.5116

8, -4.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.96, 7.59, 0.2823, 0.5034

8, -4.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.95, 7.58, 0.2823, 0.4952

8, -4.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.94, 7.58, 0.2824, 0.4872

8, -4.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.93, 7.57, 0.2824, 0.4792

8, -3.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.92, 7.56, 0.2824, 0.4712

8, -3.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.91, 7.56, 0.2824, 0.4634

8, -3.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.90, 7.55, 0.2824, 0.4557

8, -3.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.89, 7.54, 0.2824, 0.4479

8, -3.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.88, 7.54, 0.2824, 0.4403

8, -3.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.87, 7.53, 0.2824, 0.4327

8, -3.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.86, 7.52, 0.2824, 0.4253

8, -3.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.85, 7.52, 0.2824, 0.4179

8, -3.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.84, 7.51, 0.2824, 0.4105

8, -3.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.83, 7.50, 0.2824, 0.4033

8, -3.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.82, 7.50, 0.2824, 0.3961

8, -3.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.81, 7.49, 0.2824, 0.3890

8, -3.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.80, 7.48, 0.2824, 0.3819

8, -3.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.79, 7.48, 0.2824, 0.3750

8, -3.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.78, 7.47, 0.2824, 0.3681

8, -3.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.77, 7.46, 0.2824, 0.3613

8, -3.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.77, 7.46, 0.2824, 0.3545

8, -3.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.76, 7.45, 0.2824, 0.3479

8, -3.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.75, 7.44, 0.2824, 0.3413

8, -3.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.74, 7.44, 0.2824, 0.3348

8, -2.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.73, 7.43, 0.2824, 0.3283

8, -2.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.72, 7.42, 0.2823, 0.3220

8, -2.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.71, 7.41, 0.2823, 0.3157

8, -2.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.70, 7.41, 0.2823, 0.3095

8, -2.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.69, 7.40, 0.2823, 0.3033

8, -2.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.68, 7.39, 0.2823, 0.2973

8, -2.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.67, 7.38, 0.2823, 0.2913

8, -2.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.66, 7.38, 0.2822, 0.2854

8, -2.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.65, 7.37, 0.2822, 0.2796

8, -2.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.64, 7.36, 0.2822, 0.2738

8, -2.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.63, 7.35, 0.2822, 0.2682

8, -2.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.62, 7.34, 0.2821, 0.2626

8, -2.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.61, 7.34, 0.2821, 0.2571

8, -2.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.60, 7.33, 0.2821, 0.2516

8, -2.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.59, 7.32, 0.2821, 0.2463

8, -2.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.58, 7.31, 0.2820, 0.2410

8, -2.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.57, 7.31, 0.2820, 0.2358

8, -2.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.57, 7.30, 0.2819, 0.2306

8, -2.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.56, 7.29, 0.2819, 0.2255

8, -2.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.55, 7.28, 0.2819, 0.2205

8, -1.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.54, 7.27, 0.2818, 0.2155

8, -1.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.53, 7.27, 0.2818, 0.2107

8, -1.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.52, 7.26, 0.2817, 0.2059

8, -1.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.51, 7.25, 0.2817, 0.2012

8, -1.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.50, 7.24, 0.2816, 0.1965

8, -1.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.49, 7.24, 0.2816, 0.1920

8, -1.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.48, 7.23, 0.2815, 0.1875

8, -1.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.47, 7.22, 0.2815, 0.1830

8, -1.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.46, 7.21, 0.2814, 0.1787

8, -1.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.45, 7.20, 0.2814, 0.1744

8, -1.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.44, 7.19, 0.2814, 0.1702

8, -1.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.43, 7.18, 0.2813, 0.1660

8, -1.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.41, 7.17, 0.2813, 0.1620

8, -1.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.40, 7.17, 0.2813, 0.1580

8, -1.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.39, 7.16, 0.2813, 0.1541

8, -1.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.38, 7.15, 0.2813, 0.1503

8, -1.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.37, 7.14, 0.2813, 0.1465

8, -1.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.36, 7.13, 0.2813, 0.1429

8, -1.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.34, 7.11, 0.2813, 0.1393

8, -1.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.33, 7.10, 0.2814, 0.1358

8, -0.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.32, 7.09, 0.2814, 0.1324

8, -0.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.31, 7.08, 0.2814, 0.1291

8, -0.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.29, 7.07, 0.2815, 0.1258

8, -0.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.28, 7.06, 0.2815, 0.1227

8, -0.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.27, 7.05, 0.2815, 0.1196

8, -0.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.25, 7.03, 0.2815, 0.1165

8, -0.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.23, 7.02, 0.2815, 0.1136

8, -0.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.22, 7.01, 0.2815, 0.1107

8, -0.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.20, 6.99, 0.2815, 0.1079

8, -0.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.18, 6.98, 0.2815, 0.1051

8, -0.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.17, 6.96, 0.2815, 0.1024

8, -0.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.15, 6.94, 0.2815, 0.0998

8, -0.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.13, 6.93, 0.2816, 0.0973

8, -0.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.10, 6.91, 0.2817, 0.0948

8, -0.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.08, 6.88, 0.2817, 0.0925

8, -0.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.05, 6.86, 0.2818, 0.0902

8, -0.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.02, 6.83, 0.2819, 0.0880

8, -0.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.99, 6.80, 0.2819, 0.0859

8, -0.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.96, 6.77, 0.2819, 0.0838

8, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.92, 6.73, 0.2818, 0.0818

8, 0.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.87, 6.68, 0.2817, 0.0799

8, 0.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.81, 6.60, 0.2816, 0.0780

8, 0.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.74, 6.51, 0.2816, 0.0761

8, 0.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.63, 6.37, 0.2813, 0.0742

8, 0.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.48, 6.16, 0.2813, 0.0726

8, 0.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.29, 5.89, 0.2812, 0.0710

8, 0.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.06, 5.55, 0.2810, 0.0695

8, 0.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 3.86, 5.26, 0.2808, 0.0679

8, 0.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 3.69, 5.02, 0.2806, 0.0666

8, 0.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 3.51, 4.79, 0.2808, 0.0658

8, 0.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 3.32, 4.53, 0.2808, 0.0646

8, 0.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 3.09, 4.23, 0.2808, 0.0633

8, 0.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.86, 3.92, 0.2804, 0.0619

8, 0.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.63, 3.58, 0.2810, 0.0616

8, 0.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.45, 3.31, 0.2810, 0.0608

8, 0.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.31, 3.09, 0.2807, 0.0597

8, 0.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.18, 2.87, 0.2806, 0.0588

8, 0.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.04, 2.62, 0.2804, 0.0581

8, 0.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.87, 2.29, 0.2803, 0.0575

8, 1.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.72, 1.98, 0.2808, 0.0577

8, 1.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.62, 1.76, 0.2808, 0.0572

8, 1.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.57, 1.61, 0.2807, 0.0568

8, 1.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.53, 1.50, 0.2810, 0.0566

8, 1.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.50, 1.42, 0.2813, 0.0567

