0.000	 0.010	 0.967
0.010	 0.020	 1.136
0.020	 0.032	 1.264
0.030	 0.046	 1.412
0.040	 0.060	 1.470
0.050	 0.076	 1.633
0.060	 0.091	 1.372
0.070	 0.105	 1.414
0.080	 0.119	 1.403
0.090	 0.133	 1.364
0.100	 0.146	 1.403
0.110	 0.160	 1.274
0.120	 0.173	 1.377
0.130	 0.187	 1.325
0.140	 0.199	 1.239
0.150	 0.211	 1.043
0.160	 0.221	 1.036
0.170	 0.231	 0.998
0.180	 0.240	 0.783
0.190	 0.249	 0.886
0.200	 0.257	 0.747
0.210	 0.265	 0.858
0.220	 0.273	 0.750
0.230	 0.280	 0.756
0.240	 0.288	 0.706
0.250	 0.295	 0.838
0.260	 0.303	 0.624
0.270	 0.309	 0.680
0.280	 0.317	 0.867
0.290	 0.326	 0.913
0.300	 0.336	 1.069
0.310	 0.345	 0.846
0.320	 0.354	 0.819
0.330	 0.362	 0.803
0.340	 0.371	 0.992
0.350	 0.381	 1.044
0.360	 0.392	 1.082
0.370	 0.403	 1.120
0.380	 0.415	 1.368
0.390	 0.429	 1.339
0.400	 0.442	 1.361
0.410	 0.455	 1.256
0.420	 0.467	 1.092
0.430	 0.477	 0.968
0.440	 0.486	 0.818
0.450	 0.496	 1.185
0.460	 0.508	 1.261
0.470	 0.521	 1.336
0.480	 0.536	 1.650
0.490	 0.554	 1.966
0.500	 0.574	 2.042
0.510	 0.595	 2.071
0.520	 0.615	 1.871
0.530	 0.634	 1.974
0.540	 0.653	 1.894
0.550	 0.671	 1.671
0.560	 0.687	 1.569
0.570	 0.702	 1.438
0.580	 0.717	 1.538
0.590	 0.732	 1.462
0.600	 0.748	 1.725
0.610	 0.766	 1.818
0.620	 0.784	 1.766
0.630	 0.801	 1.723
0.640	 0.819	 1.818
0.650	 0.837	 1.891
0.660	 0.856	 1.781
0.670	 0.873	 1.740
0.680	 0.890	 1.654
0.690	 0.907	 1.653
0.700	 0.923	 1.622
0.710	 0.938	 1.434
0.720	 0.953	 1.412
0.730	 0.968	 1.603
0.740	 0.984	 1.561
0.750	 0.999	 1.528
0.760	 1.015	 1.749
0.770	 1.033	 1.816
0.780	 1.052	 1.868
0.790	 1.070	 1.742
0.800	 1.086	 1.499
0.810	 1.099	 1.144
0.820	 1.111	 1.229
0.830	 1.124	 1.343
0.840	 1.136	 1.181
0.850	 1.149	 1.376
0.860	 1.163	 1.374
0.870	 1.176	 1.236
0.880	 1.188	 1.101
0.890	 1.197	 0.820
0.900	 1.207	 1.009
0.910	 1.217	 1.152
0.920	 1.229	 1.105
0.930	 1.239	 0.995
0.940	 1.249	 1.085
0.950	 1.261	 1.310
0.960	 1.275	 1.307
0.970	 1.288	 1.395
0.980	 1.301	 1.111
0.990	 1.312	 1.179
1.000	 1.324	 1.211
1.010	 1.337	 1.315
1.020	 1.349	 1.233
1.030	 1.360	 0.917
1.040	 1.369	 0.910
1.050	 1.377	 0.690
1.060	 1.385	 0.780
1.070	 1.392	 0.701
1.080	 1.399	 0.670
1.090	 1.405	 0.512
1.100	 1.411	 0.639
1.110	 1.417	 0.654
1.120	 1.424	 0.745
1.130	 1.431	 0.713
1.140	 1.438	 0.610
1.150	 1.444	 0.546
1.160	 1.449	 0.563
1.170	 1.454	 0.339
1.180	 1.457	 0.284
1.190	 1.462	 0.648
1.200	 1.468	 0.695
1.210	 1.476	 0.818
1.220	 1.483	 0.709
1.230	 1.492	 0.921
1.240	 1.500	 0.835
1.250	 1.508	 0.671
1.260	 1.514	 0.491
1.270	 1.519	 0.666
1.280	 1.526	 0.637
1.290	 1.532	 0.615
1.300	 1.539	 0.666
1.310	 1.545	 0.613
1.320	 1.551	 0.529
1.330	 1.556	 0.578
1.340	 1.563	 0.724
1.350	 1.570	 0.652
1.360	 1.576	 0.712
1.370	 1.584	 0.826
1.380	 1.593	 0.841
1.390	 1.601	 0.934
1.400	 1.611	 0.946
1.410	 1.620	 0.915
1.420	 1.629	 0.783
1.430	 1.637	 0.838
1.440	 1.646	 0.957
1.450	 1.654	 0.757
1.460	 1.663	 0.914
1.470	 1.671	 0.834
1.480	 1.680	 0.836
1.490	 1.687	 0.719
1.500	 1.694	 0.589
1.510	 1.700	 0.643
1.520	 1.706	 0.515
1.530	 1.711	 0.588
1.540	 1.717	 0.500
1.550	 1.722	 0.542
1.560	 1.728	 0.624
1.570	 1.735	 0.856
1.580	 1.744	 0.799
1.590	 1.753	 1.030
1.600	 1.764	 1.181
1.610	 1.776	 1.284
1.620	 1.790	 1.467
1.630	 1.805	 1.644
1.640	 1.822	 1.664
1.650	 1.839	 1.737
1.660	 1.856	 1.612
1.670	 1.870	 1.289
1.680	 1.882	 1.088
1.690	 1.893	 1.018
1.700	 1.902	 0.956
1.710	 1.912	 1.001
1.720	 1.923	 1.189
1.730	 1.935	 1.143
1.740	 1.947	 1.291
1.750	 1.960	 1.220
1.760	 1.972	 1.249
1.770	 1.984	 1.208
1.780	 1.995	 1.010
1.790	 2.006	 1.060
1.800	 2.016	 0.930
1.810	 2.024	 0.770
1.820	 2.031	 0.594
1.830	 2.037	 0.548
1.840	 2.042	 0.492
1.850	 2.046	 0.334
1.860	 2.049	 0.231
1.870	 2.051	 0.216
1.880	 2.054	 0.335
1.890	 2.057	 0.218
1.900	 2.059	 0.221
1.910	 2.060	 -0.002
1.920	 2.060	 0.009
1.930	 2.061	 0.169
1.940	 2.063	 0.260
1.950	 2.066	 0.379
1.960	 2.069	 0.143
1.970	 2.070	 0.138
1.980	 2.071	 0.046
1.990	 2.071	 0.016
2.000	 2.071	 -0.100
2.010	 2.071	 0.057
2.020	 2.070	 -0.184
2.030	 2.068	 -0.205
2.040	 2.067	 -0.065
2.050	 2.067	 0.061
2.060	 2.067	 -0.053
2.070	 2.068	 0.240
2.080	 2.070	 0.178
2.090	 2.071	 0.112
2.100	 2.072	 0.072
2.110	 2.074	 0.221
2.120	 2.076	 0.231
2.130	 2.078	 0.187
2.140	 2.081	 0.458
2.150	 2.084	 0.083
2.160	 2.086	 0.260
2.170	 2.088	 0.246
2.180	 2.090	 0.136
