
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
5, 0.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 0.01

5, 0.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 0.26

5, 0.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 0.54

5, 0.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 0.82

5, 0.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 1.07

5, 1.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 1.31

5, 1.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 1.54

5, 1.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 1.74

5, 1.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 1.92

5, 1.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.08

5, 2.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.24

5, 2.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.39

5, 2.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.51

5, 2.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.62

5, 2.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.73

5, 3.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.84

5, 3.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 2.92

5, 3.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.00

5, 3.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.07

5, 3.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.14

5, 4.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.19

5, 4.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.25

5, 4.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.30

5, 4.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.35

5, 4.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.39

5, 5.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.44

5, 5.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.48

5, 5.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.52

5, 5.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.55

5, 5.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.59

5, 6.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.62

5, 6.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.66

5, 6.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.69

5, 6.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.72

5, 6.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.74

5, 7.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.76

5, 7.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.78

5, 7.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.81

5, 7.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.83

5, 7.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.85

5, 8.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.87

5, 8.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.89

5, 8.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.90

5, 8.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.92

5, 8.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.94

5, 9.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.95

5, 9.20, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.97

5, 9.40, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.98

5, 9.60, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 3.99

5, 9.80, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 4.01

5, 10.00, 1.000, 1.00, 1.00, 100.00, 4.0e+03, 1.0e-03, 4.02
